CUSTOMER ID,GENDER,AGE,INCOME,EXPERIENCE SCORE,LOYALTY GROUP,ENROLLMENT DATE,HOUSEHOLD SIZE,MARITAL STATUS
10001,0,64," $133,498 ",5,enrolled,3/6/2013,4,Single
10002,0,42," $94,475 ",9,not enrolled,NA,6,Married
10003,0,40," $88,610 ",9,enrolled,9/2/2010,5,Married
10004,0,38," $84,313 ",8,enrolled,4/6/2015,1,Single
10005,0,30," $51,498 ",3,not enrolled,NA,1,Single
10006,1,63," $132,893 ",1,not enrolled,NA,4,Married
10007,0,33," $65,002 ",9,enrolled,1/1/2014,4,Married
10008,0,49," $115,672 ",9,enrolled,5/27/2009,6,Single
10009,0,44," $101,741 ",9,enrolled,1/6/2006,3,Married
10010,0,36," $76,994 ",2,not enrolled,NA,2,Married
10011,0,18," $20,256 ",6,not enrolled,NA,2,Married
10012,1,44," $101,805 ",2,not enrolled,NA,2,Married
10013,0,40," $88,829 ",5,not enrolled,NA,1,Divorced
10014,0,40," $88,833 ",1,not enrolled,NA,1,Single
10015,0,31," $57,251 ",9,enrolled,1/17/2005,1,Single
10016,1,39," $86,025 ",3,not enrolled,NA,2,Married
10017,0,40," $89,059 ",8,enrolled,6/27/2009,4,Married
10018,0,47," $112,035 ",5,enrolled,2/15/2010,2,Single
10019,0,69," $137,128 ",7,enrolled,8/27/2009,4,Married
10020,1,32," $59,964 ",10,not enrolled,NA,5,Married
10021,1,45," $105,964 ",8,enrolled,6/5/2008,3,Married
10022,1,46," $110,934 ",5,enrolled,6/6/2005,4,Married
10023,1,56," $121,940 ",9,enrolled,5/12/2013,3,Married
10024,1,30," $51,529 ",10,not enrolled,NA,4,Married
10025,1,48," $113,190 ",8,enrolled,10/1/2013,3,Single
10026,1,57," $123,094 ",8,enrolled,10/6/2011,1,Single
10027,0,33," $65,174 ",5,enrolled,2/14/2008,6,Married
10028,1,19," $22,972 ",8,not enrolled,NA,2,Married
10029,0,22," $32,168 ",7,enrolled,9/8/2011,1,Divorced
10030,0,84," $144,108 ",6,enrolled,10/23/2010,2,Married
10031,1,34," $69,519 ",9,not enrolled,NA,4,Married
10032,0,18," $20,447 ",5,enrolled,9/7/2015,2,Single
